Date,Stock,Headline,Label
2004-02-06,LI-US,LI registers to sell 3.78M shares held in a trust,0
2004-06-12,LI-US,LI senior unsecured debt raised to 'CCC-' from 'CC' by S&P,0
2004-07-04,LI-US,LI reports Q2 $0.01 vs. First Call $0.13,0
2004-08-07,LI-US,LI reports Q3 $0.33 vs. First Call $0.24,0
2004-10-02,F-US,F sudden spike,0
2004-10-11,LI-US,"LI reports Q4 EPS ($0.03) vs First Call ($0.12), will restate Q2",0
2004-10-26,LI-US,LI raises FY04 EBITDA guidance to up 10-11% y/o/y,0
2004-11-16,LI-US,LI initiated buy at Oppenheimer,0
2004-12-22,LI-US,LI extends buyback of 3.8M shares to 4/15/05,0
2004-12-22,LI-US,LI credit placed on review for potential upgrade by Moody's,0
2005-01-06,LI-US,LI debt raised to 'BBB-' from 'BB' by S&P,0
2005-02-18,LI-US,LI announces stock buyback,0
2005-03-16,GM-US,GM credit ratings a source of speculation,0
2005-04-14,GM-US,GM trading off recent lows after earlier drop,0
2005-05-10,GM-US,GM trades to the low of the day,0
2005-06-01,LI-US,LI reports Q1 $0.29 vs. First Call $0.30 -- 2 estimates,0
2005-06-04,LI-US,LI reports Q2 EPS from continuing ops $0.20 vs First Call $0.10,0
2005-06-22,GM-US,GM trading lower,0
2005-07-04,LI-US,LI guides f05 revenues flat to (2%) on conf call,0
2005-07-07,LI-US,LI reports Q3 EPS $0.30 vs First Call $0.36,0
2005-08-04,LI-US,LI downgraded to market perform from outperform at BMO Nesbitt Burns,0
2005-09-11,LI-US,LI reports Q4 EPS ($0.81) including items; not comparable to First Call ($0.12) --2 estimates,0
2005-10-18,GM-US,GM considering sale of controlling stake in GMAC reports the WSJ,0
2005-10-27,GM-US,Dollar weaker overnight; GM denies rumor of filing for Chapter 11,0
2005-11-18,GM-US,Private equity consortium considering bid for GM's residential mortgage unit reports TheDeal.com,0
2005-12-05,F-US,F trading lower,1
2005-12-21,GM-US,"Follow-up: CNBC's Faber says it is ""at least termed likely"" that Tracinda will ""buy back in"" to GM shares -- CNBC",0
2005-12-29,GM-US,Follow-up: GM trading higher,0
2006-01-19,PII-US,PII raises its quarterly dividend 11% to $0.31,1
2006-01-20,PII-US,PII reiterated sell at BofA,0
2006-01-25,LI-US,1.129M share block of LI traded at $27.19 on third market at 11:28 ET,0
2006-01-26,PII-US,PII reports Q4 EPS $1.03 vs Reuters consensus $1.00; guides below consensus,1
2006-01-26,PII-US,"PII downgraded at AG Edwards, we're told",1
2006-01-27,GM-US,GM says it continues to work to sell a controlling stake in GMAC -- Dow Jones,0
2006-01-27,PII-US,PII upgraded to strong buy from outperform at Raymond James,0
2006-01-30,GM-US,MergerMarket's Kosman says that WB and C are looking at GM's GMAC unit -- CNBC,0
2006-01-31,PII-US,PII reiterated sell at BofA,0
2006-02-11,F-US,Ford CEO Alan Mulally recruiting his Boeing HR lieutenant Jerry Calhoun - Detroit News,0
2006-03-03,LI-US,LI downgraded to neutral from buy at Oppenheimer,0
2006-03-10,PII-US,"Polaris Industries inventories still high, says AG Edwards",0
2006-03-30,GM-US,GM trading lower,0
2006-03-31,GM-US,GM may announce agreement on Monday 4/3 to sell 51% stake of GMAC to Cerberus -- Bloomberg,0
2006-04-13,PII-US,Follow-up: PII guides Q2 sales cont. ops (9%)-(12%),0
2006-04-13,PII-US,PII reports Q1 EPS $0.26 vs Reuters consensus $0.26,0
2006-05-01,LI-US,"LI reports Q1 EPS from continuing ops $0.58 vs Reuters consensus $0.42, announces buyback",0
2006-05-10,F-US,"Ford Motor isn't likely to pursue an alliance with Renault and Nissan, reports Bloomberg",1
2006-05-12,PII-US,Polaris increases share repurchase authorization by 7.0M shares; enters accelerated repurchase agreement,0
2006-05-16,PII-US,PII initiated market perform at Avondale,0
2006-06-04,LI-US,LI reports Q2 EPS $0.38 vs Reuters consensus $0.39,0
2006-06-07,LI-US,LI reports Q3 cont. ops. EPS $0.44; unsure if comparable to Reuters consensus $0.51,0
2006-07-12,F-US,Ford Motor in talks with China's Wanxiang to sell components unit - Financial Times,0
2006-07-13,PII-US,PII reports Q2 EPS $0.53 vs Reuters consensus $0.53,0
2006-07-13,PII-US,Follow up: PII now sees full year sales down 3-5% y/y,0
2006-07-18,PII-US,PII awarded additional order from military,1
2006-08-03,PII-US,"PII reiterates f06 EPS guidance in range $3.23-$3.38, cont. ops., vs. Reuters consensus $3.29, First Call $3.28",0
2006-08-11,RNO-FR,"Renault has scheduled a news conference for 2 ET on Thursday, 09-Nov -- Reuters",0
2006-08-12,PII-US,Polaris Industries has purchased 3.55M shares of its stock at $46.64/share,0
2006-08-30,F-US,GAZ Group (GAZA.RS) says not interesting in Ford's Jaguar - Marketwatch,1
2006-09-08,PII-US,PII initiated neutral at Goldman Sachs,0
2006-09-11,LI-US,Laidlaw International reports Q4 EPS ($0.02) vs Reuters consensus ($0.04),0
2006-10-11,PII-US,Polaris Industries downgraded to sell from neutral at FTN Midwest Research,1
2006-10-13,PII-US,Polaris Industries downgraded to neutral from outperform at RW Baird,0
2006-10-16,PII-US,Polaris Industries initiated hold at Wedbush Morgan (pre-open),0
2006-10-16,PII-US,Polaris Industries estimates lowered at Citigroup (timing uncertain),0
2006-10-19,GM-US,Follow-up: Russian billionaire denies media reports of GM share purchases - Bloomberg,0
2006-10-19,GM-US,Russia's Deripaska wants to up GM holding to 10% after buying stake - AFX,0
2006-10-28,RNO-FR,"Renault, Nissan (NSANY) CEO Carlos Ghosn focus of article in WSJ",0
2006-11-08,LI-US,LI announces final results of its Dutch Auction,0
2006-11-10,PII-US,Polaris Industries estimates reduced at FTN Midwest Research (10-Oct timing uncertain),0
2006-11-19,GM-US,"General Motors Vice-Chairman Bob Lutz says open to alliance with Ford (F) -- Reuters, citing SonntagsZeitung",0
2006-11-22,GM-US,CNBC's David Faber addresses speculation that Kerkorian's Tracinda is selling shares of GM,0
2006-12-10,PII-US,Polaris Industries reports Q3 EPS $1.04 vs Reuters consensus $1.06,0
2006-12-12,F-US,"Several large blocks of Ford Motor have traded, pre-open",0
2006-12-12,F-US,Follow-up: Ford Motor pre-open trades,0
2006-12-22,PII-US,Polaris Industries agrees to sell a majority of its interest in KTM Power Sports AG to Cross Industries subsidiary,0
